benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B2,sac_her_recovery_v2,action_reversal,0.0,0.0,-50.0,0.2587843195581887,50.0,0.8586173534393311,1.378884506225586,1.0,1.0,150,0.0,0.0,0.0,0.0,1.0,0.2,0.3,0.3
B2,sac_her_recovery_v2,clean,0.0,1.0,-2.0,0.020153588462731718,50.0,0.052017164230346635,0.3943478047847747,1.0,0.0,150,1.0,0.9290402489507137,1.0,0.0,1.0,0.7858080497901428,0.8358080497901428,0.8358080497901428
B2,sac_her_recovery_v2,goal_spoof_immediate,0.1,0.26,-45.36,0.093688722429814,50.0,0.06349325730154907,0.42506152485807736,0.8133333333333334,0.2866666666666667,150,0.26,0.7532002967354108,0.26,0.18666666666666665,0.2866666666666667,0.34930672601374885,0.35564005934708215,0.35564005934708215
B2,sac_her_recovery_v2,goal_spoof_midep,0.1,1.0,-28.62,0.09393723910952811,50.0,0.12310455049077665,0.47518651266892753,1.0,0.04,150,1.0,0.724853271761274,1.0,0.0,0.04,0.5529706543522548,0.5069706543522549,0.5069706543522549
B2,sac_her_recovery_v2,sensor_bias,0.1,0.35333333333333333,-44.62,0.22428261792268037,50.0,0.5383869171018402,0.8106549703081449,0.8733333333333333,0.6666666666666666,150,0.35333333333333333,0.229177572579632,0.35333333333333333,0.1266666666666667,0.6666666666666666,0.3458355145159264,0.38850218118259305,0.38850218118259305
B2,sac_her_recovery_v2,sensor_dropout,0.0,0.6,-29.6,0.042526001622996246,50.0,0.3154514491558075,0.6672387659549713,1.0,1.0,150,0.6,0.754444186750338,0.6,0.0,1.0,0.5908888373500676,0.6608888373500676,0.6608888373500676
B3,sac_her_recovery_v3,action_clipping,0.3,1.0,-8.0,0.02021667578016636,50.0,0.0232464989647269,0.3381294131278991,0.0,0.0,150,1.0,0.9267403586889228,1.0,1.0,0.0,0.7853480717377845,0.6853480717377846,0.6853480717377846
B3,sac_her_recovery_v3,action_delay,0.0,1.0,-3.6,0.02015428653126486,50.0,0.13354811370372768,0.44657925367355344,1.0,0.0,150,1.0,0.8631310008814392,1.0,0.0,0.0,0.5726262001762878,0.5226262001762878,0.5226262001762878
B3,sac_her_recovery_v3,action_reversal,0.0,0.0,-50.0,0.20279265724321882,50.0,0.6916117787361145,1.295780563354492,1.0,1.0,150,0.0,0.0,0.0,0.0,1.0,0.2,0.3,0.3
B3,sac_her_recovery_v3,clean,0.0,1.0,-2.0,0.020153588462731718,50.0,0.052017164230346635,0.3943478047847747,1.0,0.0,150,1.0,0.9102872368272932,1.0,0.0,1.0,0.7820574473654587,0.8320574473654587,0.8320574473654587
B3,sac_her_recovery_v3,goal_spoof_immediate,0.1,0.26666666666666666,-45.56666666666667,0.09441152165881939,50.0,0.07228008487572268,0.4646958330770334,0.84,0.24,150,0.26666666666666666,0.6788620092032416,0.26666666666666666,0.16000000000000003,0.24,0.32243906850731496,0.32510573517398167,0.32510573517398167
B3,sac_her_recovery_v3,goal_spoof_midep,0.1,1.0,-27.873333333333335,0.09333120735902638,50.0,0.12063511754075681,0.4752338351806005,1.0,0.03333333333333333,150,1.0,0.654091745528155,1.0,0.0,0.03333333333333333,0.5374850157722977,0.49081834910563105,0.49081834910563105
B3,sac_her_recovery_v3,sensor_bias,0.1,0.35333333333333333,-42.333333333333336,0.13719020706463544,50.0,0.39463489225755133,0.8477215382953485,0.9133333333333333,0.66,150,0.35333333333333333,0.3658564163655829,0.35333333333333333,0.08666666666666667,0.66,0.3638379499397833,0.4078379499397833,0.4078379499397833
B3,sac_her_recovery_v3,sensor_dropout,0.0,1.0,-29.0,0.057823973524260476,50.0,0.31189091205596925,0.6583632051944732,1.0,1.0,150,1.0,0.6485319982962794,1.0,0.0,1.0,0.729706399659256,0.7797063996592559,0.7797063996592559
