method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
sac_her_recovery_v3,action_clipping,0.3,0.0,-150.0,0.336927816199067,150.0,0.02781896516680714,0.5724182009696961,0.0,1.0,150,0.0,0.48035115095609815,0.0,1.0,0.0,0.29607023019121964,0.24607023019121962,0.24607023019121962
sac_her_recovery_v3,action_delay,0.0,0.0,-150.0,0.336927816199067,150.0,0.11203260123729705,1.2255830645561219,0.0,1.0,150,0.0,0.3525040998745693,0.0,1.0,0.0,0.2705008199749139,0.22050081997491386,0.22050081997491386
sac_her_recovery_v3,action_reversal,0.0,0.0,-150.0,0.336927816199067,150.0,0.10939887240529056,1.0921117186546325,0.0,1.0,150,0.0,0.3565024364888272,0.0,1.0,0.0,0.27130048729776546,0.2213004872977654,0.2213004872977654
sac_her_recovery_v3,clean,0.0,0.0,-150.0,0.336927816199067,150.0,0.10352968424558634,1.2331177115440368,0.0,1.0,150,0.0,0.36541261343253184,0.0,1.0,1.0,0.4730825226865064,0.5230825226865063,0.5230825226865063
sac_her_recovery_v3,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.033150942251086196,1.2761900424957275,0.0,1.0,150,0.0,0.4722565290104458,0.0,1.0,0.0,0.29445130580208917,0.24445130580208915,0.24445130580208915
sac_her_recovery_v3,goal_spoof_immediate,0.1,0.0,-150.0,0.336927816199067,150.0,0.14152969767649964,1.2795766530434292,0.0,1.0,150,0.0,0.3077237415955021,0.0,1.0,0.0,0.2615447483191004,0.21154474831910042,0.21154474831910042
sac_her_recovery_v3,goal_spoof_midep,0.1,0.0,-150.0,0.336927816199067,150.0,0.12769462923208869,1.3018250888586045,0.0,1.0,150,0.0,0.3287271418126418,0.0,1.0,0.0,0.2657454283625284,0.21574542836252836,0.21574542836252836
sac_her_recovery_v3,grip_state_falsification,0.0,0.0,-150.0,0.336927816199067,150.0,0.0943391643464565,1.2464005470275878,0.0,1.0,150,0.0,0.3793649959899879,0.0,1.0,0.0,0.27587299919799757,0.22587299919799758,0.22587299919799758
sac_her_recovery_v3,object_pose_spoof,0.1,0.0,-150.0,0.336927816199067,150.0,0.10211062685896949,1.2136957749724389,0.0,1.0,150,0.0,0.3675669237159943,0.0,1.0,0.0,0.2735133847431989,0.22351338474319887,0.22351338474319887
sac_her_recovery_v3,sensor_bias,0.1,0.0,-150.0,0.33696577623985796,150.0,0.09072046841805176,1.3302163382371266,0.0,1.0,150,0.0,0.384804850224265,0.0,1.0,0.0,0.27696097004485304,0.226960970044853,0.226960970044853
sac_her_recovery_v3,sensor_dropout,0.0,0.0,-150.0,0.41732834707876776,150.0,0.02181251142174,1.4686432361602784,0.0,1.0,150,0.0,0.37554469352220926,0.0,1.0,0.0,0.27510893870444186,0.22510893870444185,0.22510893870444185
