benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B2,sac_her_recovery_v2,action_delay,0.0,0.05333333333333334,-142.17333333333335,0.2527420209392609,150.0,0.23781671235958732,1.274589424530665,0.05333333333333334,0.9666666666666667,150,0.05333333333333334,0.21657272432298041,0.05333333333333334,0.9466666666666667,0.0,0.25398121153126274,0.20398121153126275,0.20398121153126275
B2,sac_her_recovery_v2,action_reversal,0.0,0.02,-147.0,0.25193164353044495,150.0,0.08170586283008253,0.9149087180693944,0.006666666666666667,1.0,150,0.02,0.3566255214793185,0.02,0.9933333333333333,0.0,0.27799177096253036,0.2273251042958637,0.2273251042958637
B2,sac_her_recovery_v2,clean,0.0,0.03333333333333333,-145.35333333333332,0.2531029020818823,150.0,0.37426691250254707,1.27351604282856,0.13333333333333333,0.9466666666666667,150,0.03333333333333333,0.09494572988578304,0.03333333333333333,0.8666666666666667,1.0,0.40565581264382333,0.46065581264382327,0.46065581264382327
B2,sac_her_recovery_v2,contact_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.13806703920165694,1.4522015052040418,0.04,1.0,150,0.02,0.30750885274562917,0.02,0.96,0.0,0.2615017705491258,0.21250177054912583,0.21250177054912583
B2,sac_her_recovery_v2,goal_spoof_immediate,0.1,0.04,-144.20666666666668,0.2520309015545,150.0,0.34176391813904045,1.205434977710247,0.1,0.9666666666666667,150,0.04,0.12615275242592847,0.04,0.9,0.013333333333333332,0.2238972171518524,0.1782305504851857,0.1782305504851857
B2,sac_her_recovery_v2,goal_spoof_midep,0.1,0.02,-146.52,0.2609587773533953,150.0,0.3228127258767684,1.2749443527062734,0.16,0.96,150,0.02,0.12269543892209613,0.02,0.84,0.0,0.20053908778441923,0.15753908778441922,0.15753908778441922
B2,sac_her_recovery_v2,grip_state_falsification,0.0,0.06,-141.30666666666667,0.2557703394004226,150.0,0.35995010597010446,1.2362467233339947,0.10666666666666667,0.9733333333333334,150,0.06,0.10157533177375942,0.06,0.8933333333333333,0.0,0.22298173302141855,0.17531506635475186,0.17531506635475186
B2,sac_her_recovery_v2,object_pose_spoof,0.1,0.03333333333333333,-145.16,0.25023872968217803,150.0,0.3782107797885934,1.2279067389170328,0.11333333333333333,0.9733333333333334,150,0.03333333333333333,0.09794594931942985,0.03333333333333333,0.8866666666666667,0.0,0.21025585653055268,0.16425585653055264,0.16425585653055264
B2,sac_her_recovery_v2,sensor_bias,0.1,0.013333333333333334,-147.94666666666666,0.26471077701445284,150.0,0.4517881490414341,1.198508232931296,0.05333333333333334,0.9933333333333333,150,0.013333333333333334,0.0,0.013333333333333334,0.9466666666666667,0.0,0.19466666666666665,0.14666666666666667,0.14666666666666667
B2,sac_her_recovery_v2,sensor_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.020943313877408658,1.4036816891034445,0.0,1.0,150,0.02,0.4112067700750248,0.02,1.0,0.0,0.290241354015005,0.23924135401500496,0.23924135401500496
