benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B2,sac_her_recovery_v2,action_delay,0.0,0.013333333333333334,-147.97333333333333,0.2543781458749216,150.0,0.16127933770418162,1.1089405872424443,0.0,1.0,150,0.013333333333333334,0.13647683921943204,0.013333333333333334,1.0,0.0,0.23262870117721973,0.18196203451055307,0.18196203451055307
B2,sac_her_recovery_v2,action_reversal,0.0,0.02,-147.0,0.25408528867802604,150.0,0.16494921676814553,1.1101288682222366,0.02666666666666667,1.0,150,0.02,0.1307960098910843,0.02,0.9733333333333334,0.0,0.22882586864488355,0.17915920197821686,0.17915920197821686
B2,sac_her_recovery_v2,clean,0.0,0.013333333333333334,-147.98,0.2524737528097173,150.0,0.22061902803679304,1.0964804524183274,0.0,1.0,150,0.013333333333333334,0.03811867932849007,0.013333333333333334,1.0,1.0,0.41295706919903136,0.46229040253236464,0.46229040253236464
B2,sac_her_recovery_v2,contact_dropout,0.0,0.02,-147.0,0.2513321519467897,150.0,0.11440261612335836,1.3701516314347586,0.0,1.0,150,0.02,0.22462936986362764,0.02,1.0,0.0,0.25292587397272553,0.20192587397272552,0.20192587397272552
B2,sac_her_recovery_v2,goal_spoof_immediate,0.1,0.006666666666666667,-148.90666666666667,0.25935164132628,150.0,0.15332371693104502,1.1252984657883645,0.0,1.0,150,0.006666666666666667,0.13882598822498513,0.006666666666666667,1.0,0.0,0.23043186431166368,0.18009853097833034,0.18009853097833034
B2,sac_her_recovery_v2,goal_spoof_midep,0.1,0.013333333333333334,-147.98,0.260090252518813,150.0,0.21685232720027361,1.1467221504449845,0.0,1.0,150,0.013333333333333334,0.027144732106119007,0.013333333333333334,1.0,0.0,0.21076227975455716,0.16009561308789047,0.16009561308789047
B2,sac_her_recovery_v2,grip_state_falsification,0.0,0.013333333333333334,-148.03333333333333,0.25883273164879744,150.0,0.2310453341652949,1.1045914785067241,0.0,1.0,150,0.013333333333333334,0.005461443262747378,0.013333333333333334,1.0,0.0,0.2064256219858828,0.15575895531921613,0.15575895531921613
B2,sac_her_recovery_v2,object_pose_spoof,0.1,0.006666666666666667,-148.85333333333332,0.2602905896581159,150.0,0.22272107149163878,1.1636506557464599,0.02,0.9933333333333333,150,0.006666666666666667,0.016524224080022142,0.006666666666666667,0.98,0.0,0.20197151148267112,0.15263817814933775,0.15263817814933775
B2,sac_her_recovery_v2,sensor_bias,0.1,0.013333333333333334,-147.96666666666667,0.2574411369895536,150.0,0.11816755368063843,1.3766512246926625,0.02,1.0,150,0.013333333333333334,0.20407894339231605,0.013333333333333334,0.98,0.0,0.24214912201179653,0.19248245534512987,0.19248245534512987
B2,sac_her_recovery_v2,sensor_dropout,0.0,0.02,-147.0,0.2612103743810022,150.0,0.020895002003138218,1.2406103787819545,0.03333333333333333,1.0,150,0.02,0.3638252777038302,0.02,0.9666666666666667,0.0,0.2740983888740994,0.22476505554076603,0.22476505554076603
