benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B2,sac_her_recovery_v2,action_clipping,0.3,0.9733333333333334,-36.50666666666667,0.030304708663069294,150.0,0.20081744881967697,0.4303301199277242,0.0,0.98,150,0.9733333333333334,0.8639100700737404,0.9733333333333334,1.0,0.0,0.7621153473480815,0.6634486806814148,0.6634486806814148
B2,sac_her_recovery_v2,action_delay,0.0,0.9,-31.82,0.07104078022561176,150.0,0.301138110756874,1.1429250196615854,0.08,0.76,150,0.9,0.7444318109930221,0.9,0.92,0.0,0.6928863621986044,0.6018863621986045,0.6018863621986045
B2,sac_her_recovery_v2,action_reversal,0.0,0.02,-147.0,0.25158581358306503,150.0,0.1070371120423078,1.2705439454317093,0.0,1.0,150,0.02,0.4538469949660955,0.02,1.0,0.0,0.29876939899321914,0.2477693989932191,0.2477693989932191
B2,sac_her_recovery_v2,clean,0.0,1.0,-10.446666666666667,0.022737929113720856,150.0,0.1939176053553819,1.0108371837933858,0.0,0.1,150,1.0,0.8817132627459033,1.0,1.0,1.0,0.9763426525491806,0.9763426525491807,0.9763426525491807
B2,sac_her_recovery_v2,contact_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.060690901279449413,1.1986301020781198,0.0,1.0,150,0.02,0.4711852883133725,0.02,1.0,0.0,0.3022370576626745,0.2512370576626745,0.2512370576626745
B2,sac_her_recovery_v2,goal_spoof_immediate,0.1,0.05333333333333334,-141.24666666666667,0.10114912809999656,150.0,0.5204519106944402,1.116239229242007,0.006666666666666667,0.31333333333333335,150,0.05333333333333334,0.601817340879679,0.05333333333333334,0.9933333333333333,0.0,0.34036346817593577,0.2880301348426024,0.2880301348426024
B2,sac_her_recovery_v2,goal_spoof_midep,0.1,0.13333333333333333,-86.9,0.09548835162811109,150.0,0.365727162733674,1.087791960835457,0.0,0.14666666666666667,150,0.13333333333333333,0.6710881241203197,0.13333333333333333,1.0,0.039999999999999994,0.39555095815739727,0.34288429149073063,0.34288429149073063
B2,sac_her_recovery_v2,grip_state_falsification,0.0,0.26,-120.93333333333334,0.19443096758348916,150.0,1.0692219778398673,1.1470321627457936,0.10666666666666667,0.8866666666666667,150,0.26,0.208867214917775,0.26,0.8933333333333333,0.053333333333333344,0.33510677631688834,0.282773442983555,0.282773442983555
B2,sac_her_recovery_v2,object_pose_spoof,0.1,0.28,-110.06666666666666,0.070294890506183,150.0,0.3436088898281256,1.0538056659698487,0.02,0.35333333333333333,150,0.28,0.7300438223828907,0.28,0.98,0.020000000000000018,0.45800876447657823,0.3970087644765782,0.3970087644765782
B2,sac_her_recovery_v2,sensor_bias,0.1,0.02,-146.83333333333334,0.29825825141599727,150.0,0.7167979182427128,1.1282418553034466,0.10666666666666667,1.0,150,0.02,0.13184317827403863,0.02,0.8933333333333333,0.0,0.21303530232147438,0.1673686356548077,0.1673686356548077
