benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B2,sac_her_recovery_v2,goal_spoof_immediate,0.1,0.08666666666666667,-138.29333333333332,0.22931844565727635,150.0,0.5439558658003807,1.2349411668380101,0.22666666666666666,0.92,150,0.08666666666666667,0.09071566723178753,0.08666666666666667,0.7733333333333333,0.03333333333333333,0.21414313344635755,0.17447646677969084,0.17447646677969084
B2,sac_her_recovery_v2,goal_spoof_midep,0.1,0.15333333333333332,-115.37333333333333,0.22336915562887047,150.0,0.5595257326215506,1.2540642273426057,0.31333333333333335,0.8533333333333334,150,0.15333333333333332,0.09308622100224029,0.15333333333333332,0.6866666666666666,0.0,0.21728391086711474,0.1752839108671147,0.1752839108671147
B2,sac_her_recovery_v2,grip_state_falsification,0.0,0.36,-103.84666666666666,0.2547320501586132,150.0,0.45801095706721145,1.1950385723511379,0.18,0.8466666666666667,150,0.36,0.09448330946643677,0.36,0.8200000000000001,0.019999999999999962,0.33089666189328737,0.2738966618932873,0.2738966618932873
B2,sac_her_recovery_v2,object_pose_spoof,0.1,0.09333333333333334,-136.73333333333332,0.23782633613544907,150.0,0.4969686845317483,1.2106562467416127,0.23333333333333334,0.88,150,0.09333333333333334,0.10499858806135495,0.09333333333333334,0.7666666666666666,0.006666666666666668,0.212999717612271,0.17066638427893766,0.17066638427893766
B2,sac_her_recovery_v2,sensor_bias,0.1,0.03333333333333333,-145.38,0.2547668031500081,150.0,0.39215176982184247,1.3271886412302654,0.06666666666666667,0.9866666666666667,150,0.03333333333333333,0.14148659181756298,0.03333333333333333,0.9333333333333333,0.0,0.2282973183635126,0.17996398503017924,0.17996398503017924
B2,sac_her_recovery_v2,sensor_dropout,0.0,0.02,-147.0,0.2643871579942091,150.0,0.02406724353631333,1.2847958493232727,0.013333333333333334,1.0,150,0.02,0.3827945403522009,0.02,0.9866666666666667,0.0,0.28189224140377356,0.2315589080704402,0.2315589080704402
B3,sac_her_recovery_v3,action_clipping,0.3,0.43333333333333335,-108.86666666666666,0.1841487715398361,150.0,0.22472068614015972,0.5442363703250885,0.0,1.0,150,0.43333333333333335,0.3974925636294824,0.43333333333333335,1.0,0.0,0.4528318460592298,0.3811651793925631,0.3811651793925631
B3,sac_her_recovery_v3,action_delay,0.0,0.22666666666666666,-123.85333333333334,0.2554214040854284,150.0,0.32046712932487326,1.2378719158967335,0.12666666666666668,0.9733333333333334,150,0.22666666666666666,0.15638816633214347,0.22666666666666666,0.8733333333333333,0.0,0.296610966599762,0.241610966599762,0.241610966599762
B3,sac_her_recovery_v3,action_reversal,0.0,0.02,-147.0,0.2514273547080677,150.0,0.07864835203935698,1.2102408562103908,0.006666666666666667,1.0,150,0.02,0.3831681886479175,0.02,0.9933333333333333,0.0,0.2833003043962502,0.2326336377295835,0.2326336377295835
B3,sac_her_recovery_v3,clean,0.0,0.3933333333333333,-97.98666666666666,0.18432013603238143,150.0,0.4051433095087607,1.173418469230334,0.16666666666666666,0.8,150,0.3933333333333333,0.23438849320853022,0.3933333333333333,0.8333333333333334,1.0,0.570877698641706,0.6095443653083727,0.6095443653083727
B3,sac_her_recovery_v3,contact_dropout,0.0,0.02,-147.02,0.25973224397206485,150.0,0.181156350672245,1.4275570968786875,0.06,0.9933333333333333,150,0.02,0.27267975940453093,0.02,0.94,0.0,0.2505359518809062,0.20253595188090617,0.20253595188090617
B3,sac_her_recovery_v3,goal_spoof_immediate,0.1,0.08666666666666667,-139.5,0.23385320328340484,150.0,0.4134764020641644,1.1857403693596522,0.18,0.8866666666666667,150,0.08666666666666667,0.11932707374257688,0.08666666666666667,0.8200000000000001,0.03333333333333333,0.22919874808184876,0.18719874808184872,0.18719874808184872
B3,sac_her_recovery_v3,goal_spoof_midep,0.1,0.18,-115.42,0.23192752376661716,150.0,0.4434840499609709,1.2384852850437165,0.26666666666666666,0.8733333333333333,150,0.18,0.09644270965399075,0.18,0.7333333333333334,0.0,0.23795520859746483,0.19228854193079814,0.19228854193079814
B3,sac_her_recovery_v3,grip_state_falsification,0.0,0.2866666666666667,-114.29333333333334,0.2763469359451666,150.0,0.36260429628193375,1.2206560548146566,0.16,0.8466666666666667,150,0.2866666666666667,0.07294941379393918,0.2866666666666667,0.84,0.0,0.29725654942545454,0.2409232160921212,0.2409232160921212
B3,sac_her_recovery_v3,object_pose_spoof,0.1,0.06666666666666667,-140.22,0.2617008926602207,150.0,0.41027511292447644,1.2467922600110373,0.22666666666666666,0.88,150,0.06666666666666667,0.06175202031487588,0.06666666666666667,0.7733333333333333,0.0,0.1936837373963085,0.1516837373963085,0.1516837373963085
B3,sac_her_recovery_v3,sensor_bias,0.1,0.02666666666666667,-146.08,0.2573422856519558,150.0,0.28078780806312953,1.3317691099643707,0.08,1.0,150,0.02666666666666667,0.18800630387339753,0.02666666666666667,0.92,0.0,0.23226792744134617,0.18493459410801286,0.18493459410801286
B3,sac_her_recovery_v3,sensor_dropout,0.0,0.02,-147.0,0.26178852930592167,150.0,0.021706478496392522,1.2773645146687826,0.0,1.0,150,0.02,0.41203084034966125,0.02,1.0,0.0,0.2904061680699323,0.23940616806993226,0.23940616806993226
